Genre,danceability,energy,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo
edm,0.748,0.524,-5.599,1.0,0.414,0.0,0.111,0.661,95.01
edm,0.649,0.716,-5.371,1.0,0.0863,2.63e-05,0.135,0.163,99.988
edm,0.489,0.597,-6.633,0.0,0.27,0.0,0.105,0.324,95.012
edm,0.561,0.965,-3.673,0.0,0.00383,7.07e-06,0.371,0.304,128.04
edm,0.786,0.667,-8.272,1.0,0.0112,0.053,0.074,0.688,102.046
edm,0.451,0.692,-4.741,1.0,0.287,0.0,0.115,0.423,174.122
edm,0.595,0.817,-6.187,0.0,0.000712,0.0386,0.142,0.483,144.961
edm,0.889,0.341,-7.909,1.0,0.117,3.7e-06,0.0734,0.942,118.003
edm,0.678,0.449,-9.379,0.0,0.477,0.0,0.536,0.606,100.033
edm,0.626,0.88,-2.384,0.0,0.205,0.0,0.128,0.534,95.079
edm,0.527,0.835,-5.298,1.0,0.0166,0.0,0.249,0.654,125.983
edm,0.617,0.635,-6.769,0.0,0.0498,1.44e-05,0.164,0.446,103.019
edm,0.596,0.73,-4.091,1.0,0.24,0.0,0.325,0.525,85.979
edm,0.644,0.892,-1.1,0.0,0.13,0.000113,0.0893,0.767,180.044
edm,0.687,0.717,-6.61,1.0,0.0744,0.0,0.134,0.685,88.063
edm,0.489,0.752,-5.422,1.0,0.665,0.000669,0.55,0.179,192.133
edm,0.601,0.713,-3.758,0.0,0.0282,0.0,0.158,0.464,122.872
edm,0.456,0.802,-7.173,1.0,0.00266,0.374,0.122,0.0616,116.222
edm,0.692,0.883,-4.698,1.0,0.0512,0.0,0.228,0.614,122.984
edm,0.869,0.726,-5.654,0.0,0.0784,0.0,0.107,0.343,124.023
edm,0.59,0.8,-5.044,0.0,0.000653,0.905,0.0512,0.21,127.996
edm,0.703,0.66,-5.119,0.0,0.137,0.0,0.192,0.79,95.033
edm,0.53,0.747,-4.838,0.0,0.417,1.04e-05,0.107,0.434,91.943
edm,0.624,0.81,-8.307,1.0,0.00269,0.0186,0.169,0.271,127.989
edm,0.698,0.931,-4.32,0.0,0.0237,0.852,0.0767,0.0825,128.004
edm,0.659,0.345,-8.464,1.0,0.106,0.0,0.107,0.338,84.761
edm,0.663,0.412,-8.195,0.0,0.00434,0.019,0.215,0.356,98.023
edm,0.721,0.738,-4.77,1.0,0.00226,4.41e-06,0.118,0.637,119.976
edm,0.687,0.792,-2.749,1.0,0.191,0.0,0.167,0.671,100.015
edm,0.64,0.533,-6.596,1.0,0.119,0.0,0.0864,0.515,99.968
edm,0.585,0.696,-5.6,0.0,0.204,0.0,0.344,0.522,104.01
edm,0.682,0.543,-8.66,1.0,0.261,0.0,0.108,0.112,127.526
edm,0.842,0.801,-4.167,0.0,0.157,4.82e-06,0.0642,0.617,95.881
edm,0.501,0.519,-5.88,0.0,0.109,0.0,0.454,0.168,133.99
edm,0.532,0.783,-5.697,1.0,0.0038,0.0012,0.161,0.643,124.08
edm,0.528,0.511,-8.144,1.0,0.126,0.0,0.101,0.351,100.1
edm,0.735,0.593,-7.473,1.0,0.731,0.178,0.135,0.475,160.07
edm,0.532,0.869,-5.094,1.0,0.157,0.00508,0.136,0.422,159.803
edm,0.723,0.56,-8.324,0.0,0.645,7.42e-06,0.228,0.619,145.022
edm,0.743,0.837,-5.025,0.0,0.0172,0.0,0.0743,0.263,103.072
edm,0.707,0.921,-3.323,1.0,0.135,0.0,0.0371,0.547,99.994
edm,0.345,0.68,-10.64,1.0,0.573,0.984,0.192,0.151,100.001
edm,0.744,0.725,-6.056,1.0,0.0179,1e-05,0.212,0.902,118.035
edm,0.748,0.841,-5.08,1.0,0.00445,1.33e-06,0.0413,0.717,123.045
edm,0.724,0.744,-4.757,1.0,0.00219,4.49e-06,0.116,0.645,119.978
edm,0.754,0.763,-4.627,0.0,0.0301,2.23e-05,0.0901,0.464,117.953
edm,0.798,0.62,-7.079,0.0,0.414,0.0192,0.112,0.235,120.031
edm,0.687,0.792,-2.749,1.0,0.191,0.0,0.167,0.671,100.011
edm,0.77,0.787,-3.748,0.0,0.198,0.0,0.262,0.513,119.986
edm,0.798,0.747,-3.91,0.0,0.0284,1.9e-06,0.344,0.805,120.002
edm,0.735,0.842,-4.079,0.0,0.00519,4.52e-06,0.308,0.681,123.039
edm,0.665,0.727,-6.57,0.0,0.032,1.02e-05,0.0873,0.66,101.976
edm,0.52,0.761,-3.093,1.0,0.256,4.96e-06,0.17,0.286,141.971
edm,0.912,0.774,-4.673,0.0,0.121,0.0127,0.101,0.632,119.966
edm,0.833,0.639,-6.964,1.0,0.152,0.0,0.101,0.448,102.989
edm,0.657,0.768,-4.628,1.0,0.108,0.0,0.144,0.759,75.025
edm,0.63,0.633,-7.088,1.0,0.00776,0.0,0.0541,0.452,93.995
