Genre,danceability,energy,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo
edm,0.791,0.749,-8.744,0.0,0.0213,0.0321,0.079,0.0669,109.997
edm,0.593,0.96,-4.896,0.0,0.0431,0.766,0.245,0.448,126.998
edm,0.729,0.496,-7.863,1.0,0.766,0.0,0.134,0.66,155.062
edm,0.695,0.752,-8.988,1.0,0.000702,0.00902,0.101,0.424,111.023
edm,0.693,0.977,-2.941,0.0,0.00182,0.708,0.589,0.419,126.969
edm,0.58,0.586,-6.883,1.0,0.344,0.0,0.0755,0.507,147.988
edm,0.898,0.435,-8.834,1.0,0.555,0.0,0.139,0.836,115.034
edm,0.623,0.796,-2.981,0.0,0.659,0.0,0.115,0.607,197.524
edm,0.661,0.374,-7.561,1.0,0.0171,0.0,0.0938,0.349,92.011
edm,0.819,0.583,-8.751,1.0,0.00422,0.536,0.387,0.0535,102.904
edm,0.585,0.696,-5.6,0.0,0.204,0.0,0.344,0.522,104.01
edm,0.733,0.859,-5.03,0.0,0.479,0.0645,0.105,0.52,124.948
edm,0.824,0.907,-1.12,1.0,0.0189,2.25e-05,0.146,0.417,104.917
edm,0.552,0.654,-8.245,0.0,0.00125,0.094,0.102,0.141,124.975
edm,0.469,0.525,-12.986,1.0,0.144,5.36e-05,0.101,0.14,129.967
edm,0.628,0.833,-4.126,0.0,0.0079,1.48e-05,0.074,0.56,128.003
edm,0.672,0.578,-6.621,1.0,0.469,0.0,0.312,0.548,113.945
edm,0.764,0.925,-1.997,1.0,0.000747,0.136,0.218,0.456,127.948
edm,0.512,0.948,-1.849,0.0,0.00433,0.00173,0.141,0.134,149.986
edm,0.466,0.747,-4.838,0.0,0.417,9.76e-06,0.107,0.43,92.161
edm,0.705,0.924,-2.975,0.0,0.0468,0.0466,0.573,0.307,128.066
edm,0.648,0.86,-4.974,1.0,0.00636,0.0289,0.135,0.625,128.03
edm,0.689,0.623,-5.025,0.0,0.254,0.0,0.113,0.546,101.998
edm,0.486,0.701,-9.815,1.0,0.000613,0.794,0.246,0.125,192.046
