danceability,energy,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,Genre
0.676,0.461,-6.746,0,0.0322,1.01e-06,0.358,0.715,87.917,acoustic
0.42,0.166,-17.235,1,0.924,5.56e-06,0.101,0.267,77.489,acoustic
0.438,0.359,-9.734,1,0.21,0.0,0.117,0.12,76.332,acoustic
0.266,0.0596,-18.515,1,0.905,7.07e-05,0.132,0.143,181.74,acoustic
0.618,0.443,-9.681,1,0.469,0.0,0.0829,0.167,119.949,acoustic
0.688,0.481,-8.807,1,0.289,0.0,0.189,0.666,98.017,acoustic
0.407,0.147,-8.822,1,0.857,2.89e-06,0.0913,0.0765,141.284,acoustic
0.703,0.444,-9.331,1,0.559,0.0,0.0973,0.712,150.96,acoustic
0.625,0.414,-8.7,1,0.294,0.0,0.151,0.669,130.088,acoustic
0.442,0.632,-6.77,1,0.426,0.00419,0.0735,0.196,78.899,acoustic
0.627,0.363,-8.127,1,0.279,0.0,0.0928,0.301,99.905,acoustic
0.483,0.303,-10.058,1,0.694,0.0,0.115,0.139,133.406,acoustic
0.489,0.314,-9.245,0,0.749,0.0,0.113,0.607,124.234,acoustic
0.691,0.234,-6.441,1,0.777,0.0,0.12,0.209,87.103,acoustic
0.755,0.78,-6.084,1,0.124,2.83e-05,0.121,0.387,120.004,acoustic
0.489,0.561,-7.933,1,0.2,4.56e-05,0.179,0.238,83.457,acoustic
0.706,0.112,-18.098,1,0.827,4.03e-06,0.125,0.414,110.154,acoustic
0.795,0.0841,-18.09,0,0.742,1.17e-05,0.0853,0.609,91.803,acoustic
0.625,0.414,-8.7,1,0.294,0.0,0.151,0.669,130.088,acoustic
0.717,0.32,-8.393,1,0.83,0.0,0.107,0.322,107.946,acoustic
0.703,0.444,-9.331,1,0.559,0.0,0.0973,0.712,150.96,acoustic
0.678,0.351,-8.654,1,0.747,0.0,0.355,0.569,90.032,acoustic
0.407,0.147,-8.822,1,0.857,2.89e-06,0.0913,0.0765,141.284,acoustic
0.572,0.454,-10.286,1,0.477,1.37e-05,0.0974,0.515,140.182,acoustic
0.796,0.667,-4.831,0,0.381,0.0,0.221,0.754,97.988,acoustic
0.755,0.454,-9.609,0,0.757,0.0,0.236,0.33,120.06,acoustic
0.62,0.309,-9.209,1,0.788,0.0,0.146,0.664,145.363,acoustic
0.633,0.429,-6.784,0,0.0444,0.0,0.132,0.52,143.793,acoustic
0.62,0.309,-9.209,1,0.788,0.0,0.146,0.664,145.363,acoustic
0.62,0.309,-9.209,1,0.788,0.0,0.146,0.664,145.363,acoustic
0.62,0.309,-9.209,1,0.788,0.0,0.146,0.664,145.363,acoustic
0.62,0.309,-9.209,1,0.788,0.0,0.146,0.664,145.363,acoustic
0.593,0.455,-8.192,1,0.366,0.0,0.0914,0.564,202.019,acoustic
0.296,0.206,-11.799,1,0.782,0.000225,0.0959,0.202,165.4,acoustic
0.296,0.206,-11.799,1,0.782,0.000225,0.0959,0.202,165.4,acoustic
0.296,0.206,-11.799,1,0.782,0.000225,0.0959,0.202,165.4,acoustic
0.409,0.153,-10.74,0,0.939,2.56e-05,0.108,0.18,85.262,acoustic
0.501,0.0952,-12.931,1,0.963,1.58e-05,0.0915,0.316,138.016,acoustic
0.606,0.326,-10.031,1,0.841,0.0,0.139,0.414,91.626,acoustic
0.409,0.153,-10.74,0,0.939,2.56e-05,0.108,0.18,85.262,acoustic
0.474,0.519,-5.291,1,0.281,0.0,0.107,0.326,151.832,acoustic
0.568,0.301,-10.163,0,0.796,3.37e-06,0.118,0.142,88.029,acoustic
0.568,0.686,-6.635,1,0.15,1.81e-06,0.0881,0.725,172.075,acoustic
0.568,0.686,-6.635,1,0.15,1.81e-06,0.0881,0.725,172.075,acoustic
0.476,0.666,-3.438,1,0.314,0.0,0.342,0.498,148.155,acoustic
0.568,0.686,-6.635,1,0.15,1.81e-06,0.0881,0.725,172.075,acoustic
0.568,0.686,-6.635,1,0.15,1.81e-06,0.0881,0.725,172.075,acoustic
0.568,0.686,-6.635,1,0.15,1.81e-06,0.0881,0.725,172.075,acoustic
0.568,0.686,-6.635,1,0.15,1.81e-06,0.0881,0.725,172.075,acoustic
0.568,0.686,-6.635,1,0.15,1.81e-06,0.0881,0.725,172.075,acoustic
0.596,0.2,-10.424,0,0.91,0.000183,0.0884,0.308,107.893,acoustic
0.373,0.914,-4.185,1,0.076,0.0,0.669,0.56,168.21,acoustic
0.494,0.652,-5.863,0,0.0754,0.00256,0.125,0.298,137.018,acoustic
0.447,0.393,-8.65,1,0.785,0.0,0.28,0.564,73.139,acoustic
0.576,0.331,-9.389,0,0.894,3.44e-05,0.129,0.407,149.02,acoustic
0.536,0.89,-5.222,1,0.078,0.0202,0.131,0.273,121.974,acoustic
0.526,0.333,-13.02,1,0.91,0.168,0.111,0.159,94.951,acoustic
0.501,0.381,-9.448,1,0.687,0.00133,0.119,0.502,80.075,acoustic
0.27,0.275,-10.357,1,0.834,0.0,0.146,0.231,168.964,acoustic
0.731,0.507,-6.477,1,0.572,0.0,0.0912,0.265,117.969,acoustic
0.375,0.457,-7.018,1,0.868,0.0145,0.191,0.415,174.839,acoustic
0.43,0.791,-5.419,0,0.0726,0.0193,0.11,0.217,171.864,acoustic
0.616,0.282,-15.317,1,0.983,0.833,0.13,0.435,96.638,acoustic
0.705,0.347,-8.249,1,0.674,0.0,0.12,0.36,80.057,acoustic
0.582,0.255,-10.254,1,0.772,0.0,0.0889,0.285,139.884,acoustic
0.549,0.274,-12.565,1,0.798,6.63e-06,0.103,0.207,86.664,acoustic
0.787,0.355,-11.429,1,0.896,0.0201,0.111,0.48,99.978,acoustic
0.397,0.303,-7.508,1,0.381,0.0,0.101,0.172,81.05,acoustic
0.548,0.42,-7.842,1,0.198,4.46e-06,0.0899,0.196,128.012,acoustic
0.787,0.403,-11.989,1,0.603,0.00857,0.131,0.264,118.042,acoustic
0.484,0.573,-6.183,1,0.0882,1.14e-06,0.15,0.346,139.966,acoustic
0.382,0.416,-9.303,1,0.0733,0.0,0.0719,0.125,102.089,acoustic
0.541,0.575,-9.463,1,0.677,0.215,0.102,0.428,91.98,acoustic
0.607,0.473,-8.555,1,0.712,0.0,0.66,0.54,119.698,acoustic
0.417,0.595,-7.84,1,0.158,0.000269,0.101,0.117,147.928,acoustic
0.572,0.454,-10.286,1,0.477,1.37e-05,0.0974,0.515,140.182,acoustic
0.709,0.913,-5.148,1,0.0182,0.0,0.167,0.519,108.024,acoustic
0.537,0.342,-13.553,1,0.645,0.266,0.0687,0.253,109.236,acoustic
0.602,0.336,-11.106,1,0.883,0.0017,0.143,0.335,90.894,acoustic
0.643,0.638,-4.947,0,0.204,0.0,0.0707,0.6,82.001,acoustic
0.451,0.7,-6.597,0,0.455,0.00233,0.405,0.37,150.055,acoustic
0.546,0.391,-10.786,0,0.784,2.72e-06,0.0552,0.202,139.669,acoustic
0.561,0.327,-10.835,0,0.902,0.000469,0.111,0.298,161.858,acoustic
0.479,0.541,-9.862,1,0.74,0.0,0.108,0.3,85.994,acoustic
0.479,0.541,-9.862,1,0.74,0.0,0.108,0.3,85.994,acoustic
0.436,0.4,-11.485,1,0.904,0.00105,0.125,0.351,100.734,acoustic
0.551,0.836,-3.838,0,0.00502,2.1e-05,0.0425,0.758,185.063,acoustic
0.409,0.153,-10.74,0,0.939,2.56e-05,0.108,0.18,85.262,acoustic
0.409,0.153,-10.74,0,0.939,2.56e-05,0.108,0.18,85.262,acoustic
0.6,0.845,-7.076,1,0.048,0.0,0.24,0.392,97.631,acoustic
0.492,0.145,-14.504,0,0.872,9.68e-06,0.107,0.218,90.078,acoustic
0.492,0.145,-14.504,0,0.872,9.68e-06,0.107,0.218,90.078,acoustic
0.447,0.555,-6.018,1,0.218,3.46e-06,0.124,0.33,117.888,acoustic
0.492,0.145,-14.504,0,0.872,9.68e-06,0.107,0.218,90.078,acoustic
0.492,0.145,-14.504,0,0.872,9.68e-06,0.107,0.218,90.078,acoustic
0.492,0.145,-14.504,0,0.872,9.68e-06,0.107,0.218,90.078,acoustic
0.492,0.145,-14.504,0,0.872,9.68e-06,0.107,0.218,90.078,acoustic
0.492,0.145,-14.504,0,0.872,9.68e-06,0.107,0.218,90.078,acoustic
0.661,0.937,-5.157,0,0.322,1.04e-06,0.19,0.805,105.549,acoustic
0.603,0.78,-5.531,1,0.139,0.0,0.164,0.693,100.499,acoustic
0.626,0.655,-6.69,1,0.503,0.0,0.13,0.542,92.003,acoustic
0.794,0.38,-8.769,0,0.762,0.0,0.262,0.617,114.99,acoustic
0.52,0.279,-10.739,0,0.894,0.000105,0.103,0.0951,69.642,acoustic
0.545,0.658,-7.174,1,0.496,0.0,0.105,0.683,76.971,acoustic
0.728,0.266,-7.322,1,0.872,1.03e-05,0.114,0.307,115.189,acoustic
0.66,0.407,-8.381,1,0.236,0.0,0.109,0.257,133.86,acoustic
0.357,0.161,-10.667,1,0.971,1.4e-05,0.358,0.325,83.449,acoustic
0.479,0.154,-11.282,1,0.915,0.0,0.0974,0.36,147.207,acoustic
0.592,0.769,-5.268,1,0.319,4.66e-06,0.137,0.385,102.033,acoustic
0.7,0.454,-10.39,0,0.55,0.0022,0.121,0.34,80.011,acoustic
0.402,0.197,-10.775,1,0.858,1.05e-06,0.114,0.148,100.044,acoustic
0.507,0.378,-9.019,1,0.852,0.000212,0.0937,0.085,135.86,acoustic
0.619,0.226,-13.453,1,0.959,4.42e-05,0.106,0.188,124.96,acoustic
0.404,0.571,-5.069,1,0.182,2.08e-05,0.129,0.29,147.01,acoustic
0.418,0.79,-6.599,0,0.0284,9.96e-06,0.117,0.197,175.975,acoustic
0.633,0.299,-7.798,1,0.833,0.0,0.109,0.341,147.549,acoustic
0.565,0.0392,-28.276,1,0.835,0.183,0.117,0.601,125.399,acoustic
0.664,0.0755,-19.836,1,0.91,0.0,0.164,0.575,80.004,acoustic
0.585,0.303,-10.058,1,0.694,0.0,0.115,0.142,136.703,acoustic
0.65,0.271,-11.081,1,0.794,6.9e-05,0.196,0.21,78.036,acoustic
0.534,0.213,-8.64,1,0.884,0.0,0.107,0.0998,98.385,acoustic
0.456,0.386,-10.293,1,0.835,0.108,0.389,0.612,165.733,acoustic
0.409,0.234,-13.711,1,0.338,5e-05,0.0895,0.145,139.832,acoustic
0.502,0.53,-9.573,1,0.805,0.000738,0.0728,0.102,78.046,acoustic
0.496,0.117,-12.884,1,0.933,0.0,0.126,0.318,78.068,acoustic
0.585,0.724,-6.513,0,0.315,0.0681,0.0448,0.333,187.484,acoustic
0.582,0.253,-11.43,1,0.827,2.95e-05,0.091,0.294,90.186,acoustic
0.637,0.14,-11.472,1,0.903,0.0,0.107,0.392,139.78,acoustic
0.672,0.623,-5.699,1,0.241,0.0,0.0848,0.617,92.018,acoustic
0.422,0.272,-10.772,0,0.496,1.07e-05,0.0704,0.113,143.413,acoustic
0.47,0.801,-6.426,1,0.0758,3.53e-05,0.218,0.431,173.92,acoustic
0.564,0.864,-5.121,1,0.0761,0.0,0.182,0.534,95.984,acoustic
0.521,0.495,-7.756,1,0.128,0.0,0.296,0.116,135.061,acoustic
0.616,0.81,-6.51,1,0.369,0.0,0.107,0.79,97.994,acoustic
0.615,0.812,-6.573,1,0.184,0.0,0.328,0.74,98.954,acoustic
0.478,0.305,-13.062,1,0.675,0.00139,0.169,0.0974,108.66,acoustic
0.479,0.541,-9.862,1,0.737,0.0,0.108,0.321,85.994,acoustic
0.587,0.767,-5.713,1,0.225,0.0,0.112,0.664,100.38,acoustic
0.514,0.569,-7.866,0,0.601,2.21e-06,0.218,0.264,142.597,acoustic
0.646,0.836,-6.203,1,0.301,3.23e-05,0.29,0.727,105.991,acoustic
0.57,0.711,-4.155,1,0.119,0.0,0.352,0.648,163.117,acoustic
0.678,0.199,-9.785,1,0.957,3.23e-06,0.0968,0.262,72.006,acoustic
0.589,0.867,-4.523,1,0.041,0.0,0.306,0.795,94.52,acoustic
0.626,0.926,-4.441,1,0.0265,0.0,0.159,0.548,99.997,acoustic
0.686,0.556,-8.5,0,0.532,0.0,0.0922,0.36,112.997,acoustic
0.56,0.832,-5.595,1,0.108,0.0,0.232,0.802,100.957,acoustic
0.619,0.793,-5.964,1,0.263,0.0,0.0828,0.892,177.991,acoustic
0.56,0.278,-12.501,1,0.733,0.0,0.112,0.594,102.187,acoustic
0.595,0.805,-7.926,1,0.0167,1.06e-05,0.0691,0.359,102.44,acoustic
0.438,0.827,-6.531,1,0.0512,0.000402,0.319,0.645,143.377,acoustic
0.582,0.375,-13.277,0,0.702,0.0631,0.136,0.106,129.909,acoustic
0.453,0.295,-12.881,1,0.518,0.00011,0.293,0.14,146.022,acoustic
0.636,0.625,-7.895,1,0.222,5.35e-05,0.119,0.342,93.931,acoustic
0.639,0.201,-16.613,0,0.907,2.26e-05,0.124,0.4,88.107,acoustic
0.69,0.423,-9.194,0,0.883,0.0123,0.111,0.59,130.121,acoustic
0.599,0.349,-9.269,1,0.819,0.0,0.112,0.444,147.913,acoustic
0.519,0.264,-11.171,1,0.918,0.000253,0.237,0.192,140.354,acoustic
0.643,0.569,-7.459,1,0.544,2.17e-05,0.178,0.275,120.507,acoustic
0.573,0.624,-9.076,0,0.471,0.117,0.114,0.529,161.025,acoustic
0.654,0.821,-5.472,1,0.00666,0.00299,0.228,0.613,111.958,acoustic
0.426,0.399,-8.447,1,0.761,0.00112,0.118,0.217,115.979,acoustic
0.505,0.21,-11.349,1,0.907,0.0,0.11,0.323,80.721,acoustic
0.693,0.43,-9.395,1,0.565,0.0,0.0928,0.731,151.001,acoustic
0.739,0.287,-14.007,0,0.969,0.961,0.111,0.557,80.64,acoustic
0.453,0.146,-8.976,1,0.867,3.49e-06,0.0945,0.0915,137.905,acoustic
0.606,0.54,-6.271,0,0.182,0.000144,0.144,0.249,79.952,acoustic
0.595,0.646,-5.495,1,0.11,0.0,0.258,0.563,120.049,acoustic
0.736,0.145,-9.215,1,0.855,0.0,0.108,0.235,129.832,acoustic
0.479,0.126,-13.974,1,0.966,0.0,0.113,0.279,96.327,acoustic
0.583,0.786,-3.142,0,0.0208,0.0,0.188,0.573,123.055,acoustic
0.549,0.291,-13.457,1,0.858,0.000846,0.129,0.376,75.153,acoustic
0.418,0.489,-8.373,0,0.287,0.0288,0.42,0.398,72.891,acoustic
0.498,0.12,-17.721,1,0.851,0.0,0.171,0.338,121.187,acoustic
0.769,0.135,-12.049,0,0.986,0.905,0.106,0.471,103.939,acoustic
0.434,0.469,-7.849,0,0.52,0.000328,0.108,0.0568,136.282,acoustic
0.452,0.198,-9.374,1,0.931,2.24e-06,0.1,0.217,119.499,acoustic
0.544,0.5,-8.253,1,0.0325,3.78e-06,0.109,0.177,93.621,acoustic
0.662,0.187,-9.003,1,0.969,0.000273,0.0922,0.233,104.988,acoustic
0.497,0.13,-15.571,1,0.841,0.0,0.111,0.179,130.769,acoustic
0.528,0.291,-9.696,1,0.914,0.0,0.121,0.355,76.805,acoustic
0.461,0.522,-7.513,1,0.36,0.0,0.123,0.446,157.768,acoustic
0.483,0.506,-6.058,1,0.394,0.0,0.0946,0.705,87.337,acoustic
0.392,0.423,-7.813,1,0.27,0.0,0.117,0.288,113.537,acoustic
0.42,0.2,-18.827,1,0.929,0.49,0.0758,0.164,87.248,acoustic
0.657,0.716,-5.675,1,0.014,0.0,0.0483,0.435,93.924,acoustic
0.495,0.185,-13.824,1,0.692,0.00403,0.109,0.196,101.89,acoustic
0.55,0.499,-9.502,1,0.472,2.26e-06,0.0798,0.144,86.966,acoustic
0.534,0.359,-9.311,1,0.449,1.2e-05,0.331,0.267,131.804,acoustic
0.378,0.52,-10.965,1,0.777,0.0888,0.0979,0.357,73.744,acoustic
0.606,0.349,-13.967,1,0.764,0.306,0.112,0.156,80.071,acoustic
0.486,0.555,-9.466,1,0.818,0.00269,0.109,0.0992,77.987,acoustic
0.577,0.446,-11.343,1,0.554,0.0782,0.116,0.262,81.005,acoustic
