Genre,danceability,energy,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo
rock,0.489,0.724,-8.367,1,0.313,0.185,0.287,0.15,117.292
rock,0.377,0.681,-8.039,1,0.00088,0.0023,0.0504,0.285,108.789
rock,0.333,0.927,-8.55,0,0.0029,0.000208,0.297,0.385,141.466
rock,0.572,0.835,-6.219,1,0.171,0.000377,0.0702,0.795,129.981
rock,0.338,0.34,-12.049,0,0.58,0.0032,0.116,0.197,82.433
rock,0.55,0.824,-5.988,1,0.448,0.000127,0.366,0.777,114.512
rock,0.596,0.448,-9.616,1,0.365,0.0000053,0.206,0.796,83.293
rock,0.261,0.703,-7.871,1,0.115,0.00078,0.102,0.405,83.495
rock,0.599,0.79,-3.58,1,0.00257,0.00181,0.312,0.961,103.783
rock,0.684,0.481,-12.59,1,0.475,0.0000657,0.118,0.784,115.078
rock,0.806,0.462,-12.778,1,0.78,0.0134,0.15,0.736,92.726
rock,0.28,0.908,-5.509,0,0.0327,0.00000885,0.18,0.26,118.698
rock,0.361,0.728,-8.519,1,0.000291,0.000112,0.0701,0.155,105.768
rock,0.429,0.631,-11.514,0,0.0000785,0.00411,0.175,0.376,162.734
rock,0.596,0.605,-12.145,1,0.181,0.000331,0.0863,0.886,97.798
rock,0.454,0.913,-4.008,1,0.408,0.000271,0.248,0.521,137.688
rock,0.445,0.706,-9.803,1,0.234,0.000252,0.205,0.768,80.823
rock,0.598,0.676,-9.211,1,0.13,0.225,0.112,0.805,114.169
rock,0.743,0.446,-7.807,0,0.0039,0.118,0.337,0.278,123.596
rock,0.55,0.765,-8.684,1,0.00000476,0.873,0.132,0.419,139.46
rock,0.543,0.529,-9.717,1,0.326,0.00269,0.709,0.746,85.126
rock,0.623,0.449,-13.333,1,0.212,0,0.0613,0.572,84.383
rock,0.545,0.64,-9.937,0,0.00249,0.0304,0.196,0.606,80.544
rock,0.475,0.439,-15.039,0,0.000146,0.000277,0.223,0.76,118.392
rock,0.438,0.805,-6.237,1,0.00255,0.0000569,0.0842,0.564,113.253
rock,0.536,0.901,-7.211,1,0.00145,0.0186,0.06,0.666,87.559
rock,0.548,0.691,-13.553,0,0.015,0.106,0.144,0.667,137.145
rock,0.505,0.476,-12.897,1,0.25,0.00915,0.113,0.542,99.31
rock,0.484,0.711,-7.784,1,0.0183,0.173,0.0941,0.49,148.189
rock,0.215,0.927,-7.327,1,0.000273,0.00661,0.126,0.49,170.814
rock,0.67,0.591,-6.012,1,0.62,0,0.373,0.8,91.439
rock,0.509,0.584,-4.907,1,0.0368,0.0000996,0.384,0.685,170.411
rock,0.573,0.939,-6.441,1,0.493,0,0.0994,0.963,137.382
rock,0.855,0.691,-6.51,1,0.144,0,0.36,0.647,121.472
rock,0.7,0.726,-7.717,1,0.434,0.0000011,0.0963,0.641,130.109
rock,0.53,0.864,-4.948,0,0.000753,0.000459,0.354,0.484,166.312
rock,0.585,0.532,-9.673,1,0.209,0.00797,0.227,0.68,94.461
rock,0.811,0.41,-8.214,1,0.0365,0.00000663,0.0799,0.626,103.965
rock,0.614,0.568,-5.477,0,0.00797,0,0.0997,0.516,107.849
rock,0.674,0.789,-6.903,1,0.00178,0.0071,0.0754,0.918,129.804
rock,0.459,0.727,-11.777,1,0.00614,0.0652,0.384,0.955,149.231
rock,0.525,0.578,-4.563,1,0.0132,0.00916,0.108,0.537,123.696
rock,0.82,0.452,-9.796,1,0.543,0.00294,0.0714,0.74,117.401
rock,0.666,0.855,-5.051,0,0.179,0.0000012,0.0987,0.803,125.639
rock,0.653,0.677,-12.244,1,0.249,0,0.403,0.888,114.37
rock,0.608,0.768,-9.911,1,0.101,0.00000141,0.0942,0.748,132.699
rock,0.438,0.606,-6.549,1,0.3,0.00000449,0.0754,0.266,133.822
rock,0.767,0.787,-9.897,1,0.0163,0.583,0.0513,0.964,126.879
rock,0.477,0.471,-10.036,1,0.193,0.00000176,0.131,0.423,81.204
rock,0.355,0.791,-7.565,1,0.00045,0,0.0969,0.758,106.392
rock,0.554,0.639,-7.163,0,0.359,0.00274,0.205,0.644,180.638
rock,0.645,0.598,-13.18,0,0.221,0.00000353,0.0721,0.913,105.929
rock,0.438,0.71,-12.412,1,0.262,0.537,0.221,0.53,145.928
rock,0.492,0.552,-12.321,0,0.0151,0.0000374,0.0723,0.655,105.623
rock,0.537,0.701,-8.913,0,0.0972,0,0.0832,0.583,120.919
rock,0.478,0.974,-3.866,1,0.000266,0.0984,0.0738,0.268,141.077
rock,0.733,0.726,-6.514,1,0.379,0.00000258,0.471,0.915,120.814
rock,0.55,0.726,-8.51,1,0.146,0.00608,0.428,0.37,92.697
rock,0.475,0.322,-10.687,1,0.367,0.00056,0.11,0.387,93.503
rock,0.601,0.574,-8.166,1,0.579,0.0000114,0.216,0.8,147.964
rock,0.39,0.649,-5.163,1,0.172,0,0.216,0.144,121.16
rock,0.389,0.476,-9.342,1,0.619,0.0000509,0.255,0.566,148.117
rock,0.292,0.823,-6.763,1,0.0117,0.0000779,0.155,0.244,89.939
rock,0.276,0.639,-11.674,1,0.0178,0,0.292,0.643,186.502
rock,0.543,0.423,-8.797,1,0.295,0.0862,0.152,0.355,150.132
rock,0.402,0.597,-9.258,1,0.0385,0.00000209,0.109,0.496,81.806
rock,0.362,0.961,-5.664,1,0.024,0.00000935,0.159,0.491,164.019
rock,0.63,0.551,-9.28,1,0.373,0.0000575,0.103,0.518,143.868
rock,0.516,0.549,-13.741,1,0.501,0.00572,0.184,0.907,176.941
rock,0.473,0.783,-10.671,0,0.0125,0.475,0.268,0.124,91.976
rock,0.649,0.679,-12.515,1,0.464,0.00121,0.339,0.971,126.867
rock,0.55,0.722,-11.729,0,0.25,0.0129,0.11,0.716,103.886
rock,0.743,0.836,-6.465,1,0.0804,0,0.384,0.82,113.375
rock,0.264,0.8,-2.427,1,0.0195,0.00744,0.406,0.465,155.558
rock,0.421,0.335,-11.384,1,0.0342,0.00236,0.0944,0.0889,114.227
rock,0.413,0.881,-5.541,0,0.0000599,0.000308,0.0805,0.364,158.066
rock,0.409,0.92,-5.439,0,0.00719,0.00105,0.0823,0.37,145.085
rock,0.493,0.586,-13.916,1,0.0202,0.00106,0.102,0.656,113.618
rock,0.284,0.875,-6.069,0,0.00752,0.000461,0.402,0.595,75.009
rock,0.714,0.937,-2.947,1,0.206,0,0.0731,0.964,124.13
rock,0.479,0.601,-8.806,1,0.0832,0.00142,0.11,0.669,124.966
rock,0.451,0.818,-8.124,1,0.135,0.0000292,0.052,0.755,124.532
rock,0.506,0.554,-6.743,0,0.339,0.000355,0.112,0.375,124.724
rock,0.466,0.648,-11.101,0,0.0023,0.0000149,0.112,0.305,90.435
rock,0.466,0.833,-4.215,1,0.0266,0,0.0327,0.661,88.785
rock,0.404,0.902,-3.88,1,0.577,0.297,0.287,0.497,115.669
rock,0.567,0.159,-13.648,1,0.914,0,0.111,0.436,146.913
rock,0.464,0.795,-9.267,1,0.0493,0.00244,0.399,0.612,158.691
rock,0.758,0.831,-5.157,1,0.0854,0.0000144,0.101,0.958,118.758
rock,0.567,0.559,-10.175,1,0.00888,0.00131,0.0764,0.898,127.227
rock,0.329,0.974,-8.77,0,0.000852,0.000118,0.0904,0.234,140.862
rock,0.637,0.107,-18.759,1,0.911,0.00146,0.103,0.296,82.879
rock,0.356,0.872,-7.837,1,0.00417,0.00975,0.0997,0.607,166.3
rock,0.768,0.852,-6.215,1,0.214,0.0000736,0.0723,0.867,128.373
rock,0.728,0.878,-6.926,0,0.176,0.856,0.61,0.911,126.59
rock,0.541,0.459,-10.433,0,0.189,0.0274,0.099,0.803,171.165
rock,0.523,0.758,-9.81,1,0.133,0,0.0952,0.766,135.437
rock,0.408,0.48,-11.017,1,0.155,0.0000182,0.0877,0.19,156.344
rock,0.278,0.961,-3.845,1,0.00000736,0.000662,0.0268,0.752,189.664
rock,0.508,0.887,-12.377,0,0.0099,0.392,0.345,0.724,122.655
