danceability,energy,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,Genre
0.595,0.733,-3.216,1,0.487,0.0,0.0766,0.744,127.029,guitar
0.684,0.579,-6.776,0,0.845,0.000111,0.292,0.659,100.322,guitar
0.537,0.163,-17.023,1,0.981,0.888,0.111,0.0759,76.86,guitar
0.489,0.376,-13.247,0,0.345,0.0,0.0627,0.325,113.176,guitar
0.728,0.463,-8.582,1,0.842,0.000189,0.108,0.641,115.121,guitar
0.633,0.597,-7.583,1,0.373,1.22e-06,0.102,0.708,76.993,guitar
0.668,0.494,-5.136,1,0.85,0.0,0.101,0.362,72.007,guitar
0.57,0.454,-7.613,0,0.881,0.889,0.0983,0.381,101.476,guitar
0.601,0.716,-2.8,1,0.796,0.0,0.227,0.622,75.801,guitar
0.183,0.123,-21.108,1,0.694,0.937,0.373,0.0448,81.342,guitar
0.509,0.267,-12.508,1,0.742,0.0,0.114,0.242,81.958,guitar
0.425,0.245,-16.021,1,0.929,0.903,0.68,0.393,87.969,guitar
0.65,0.145,-18.438,1,0.984,0.946,0.105,0.355,136.001,guitar
0.65,0.414,-9.283,1,0.838,0.00171,0.0807,0.639,95.728,guitar
0.717,0.328,-13.71,1,0.96,0.000222,0.13,0.836,112.322,guitar
0.621,0.113,-16.842,0,0.97,0.834,0.116,0.203,107.75,guitar
0.456,0.231,-15.736,1,0.837,0.00206,0.121,0.319,78.947,guitar
0.697,0.663,-6.035,1,0.191,0.0,0.357,0.82,132.015,guitar
0.667,0.581,-4.166,0,0.576,4.59e-05,0.103,0.597,149.777,guitar
0.539,0.372,-12.911,0,0.807,2.36e-06,0.0861,0.616,112.859,guitar
0.538,0.553,-8.928,1,0.742,0.165,0.108,0.647,88.665,guitar
0.189,0.0446,-28.399,1,0.971,0.99,0.111,0.0139,82.963,guitar
0.556,0.418,-12.739,1,0.714,0.802,0.104,0.528,85.626,guitar
0.634,0.373,-9.901,1,0.936,8.69e-05,0.108,0.728,91.055,guitar
0.451,0.701,-6.424,0,0.442,0.0,0.847,0.214,91.795,guitar
0.574,0.598,-7.078,0,0.506,0.445,0.157,0.275,127.964,guitar
0.58,0.239,-10.712,1,0.81,0.853,0.167,0.191,155.918,guitar
0.483,0.186,-21.828,0,0.943,0.877,0.115,0.51,150.705,guitar
0.558,0.212,-16.754,0,0.628,1.3e-05,0.114,0.687,82.316,guitar
0.554,0.476,-11.698,0,0.739,2.1e-05,0.103,0.626,171.654,guitar
0.353,0.327,-20.169,1,0.861,0.909,0.354,0.191,101.111,guitar
0.414,0.194,-19.209,1,0.883,0.897,0.129,0.61,77.205,guitar
0.485,0.293,-17.087,1,0.92,0.864,0.105,0.229,76.716,guitar
0.584,0.743,-6.575,1,0.747,0.0,0.0734,0.73,144.016,guitar
0.522,0.857,-3.38,1,0.467,1.47e-06,0.167,0.729,99.353,guitar
0.727,0.473,-9.352,1,0.414,0.0,0.129,0.858,113.401,guitar
0.451,0.701,-6.424,0,0.442,0.0,0.847,0.214,91.795,guitar
0.529,0.252,-15.412,1,0.944,0.859,0.106,0.317,84.828,guitar
0.587,0.0507,-15.842,1,0.979,3.08e-06,0.107,0.31,96.073,guitar
0.698,0.578,-3.573,1,0.868,7.47e-06,0.159,0.657,76.226,guitar
0.0,0.004,-28.326,1,0.97,0.959,0.109,0.0,0.0,guitar
0.486,0.48,-8.643,1,0.772,0.802,0.09,0.215,107.282,guitar
0.895,0.0265,-19.707,0,0.976,0.416,0.107,0.221,117.886,guitar
0.559,0.567,-7.155,0,0.174,0.103,0.122,0.227,130.036,guitar
0.0846,0.00174,-28.015,1,0.954,0.989,0.111,0.0578,165.27,guitar
0.803,0.335,-13.331,1,0.579,0.0128,0.0849,0.786,132.682,guitar
0.54,0.309,-15.599,1,0.61,0.751,0.119,0.622,126.431,guitar
0.673,0.294,-13.874,0,0.94,0.928,0.115,0.462,143.934,guitar
0.321,0.0386,-24.641,0,0.958,0.961,0.297,0.0917,127.956,guitar
0.203,0.215,-23.772,1,0.74,0.567,0.299,0.182,118.355,guitar
0.592,0.244,-14.728,1,0.981,0.925,0.109,0.302,133.078,guitar
0.822,0.0644,-19.105,0,0.961,0.888,0.109,0.219,58.243,guitar
0.521,0.526,-6.87,0,0.552,0.00156,0.198,0.577,107.663,guitar
0.346,0.333,-13.772,1,0.904,0.856,0.168,0.303,175.436,guitar
0.493,0.0931,-24.853,0,0.982,0.684,0.0285,0.277,79.106,guitar
0.48,0.181,-17.172,1,0.953,0.897,0.106,0.214,170.177,guitar
0.345,0.161,-16.957,1,0.964,0.936,0.111,0.134,88.461,guitar
0.805,0.333,-13.106,1,0.951,0.884,0.0979,0.421,122.54,guitar
0.437,0.362,-10.074,1,0.807,2.18e-06,0.314,0.268,115.284,guitar
0.57,0.515,-8.936,1,0.474,0.897,0.121,0.573,91.96,guitar
0.201,0.444,-23.991,1,0.669,0.08,0.367,0.494,129.808,guitar
0.607,0.0572,-22.39,0,0.978,0.921,0.0995,0.239,90.578,guitar
0.683,0.647,-9.071,0,0.483,0.857,0.12,0.655,128.499,guitar
0.408,0.266,-12.9,0,0.875,0.000498,0.104,0.35,143.651,guitar
0.598,0.266,-14.298,1,0.884,0.87,0.102,0.352,101.201,guitar
0.766,0.417,-8.588,1,0.686,0.926,0.233,0.595,90.022,guitar
0.729,0.663,-7.778,0,0.0295,0.0606,0.105,0.431,98.512,guitar
0.619,0.189,-15.253,1,0.903,0.00106,0.189,0.511,103.486,guitar
0.574,0.598,-7.078,0,0.506,0.445,0.157,0.275,127.964,guitar
0.489,0.27,-11.429,1,0.923,0.693,0.0885,0.288,164.146,guitar
0.501,0.356,-7.461,1,0.857,0.853,0.112,0.181,98.445,guitar
0.27,0.0725,-23.561,0,0.953,0.928,0.112,0.109,87.453,guitar
0.511,0.11,-20.248,1,0.987,0.947,0.11,0.13,95.946,guitar
0.415,0.576,-11.628,0,0.834,0.808,0.698,0.556,100.54,guitar
0.573,0.743,-6.573,1,0.747,0.0,0.0734,0.729,143.971,guitar
0.431,0.599,-7.858,0,0.638,0.0,0.105,0.801,141.245,guitar
0.506,0.102,-27.349,1,0.912,0.924,0.12,0.598,105.899,guitar
0.334,0.47,-12.588,0,0.941,0.967,0.127,0.623,51.206,guitar
0.599,0.585,-6.506,1,0.643,2.68e-05,0.16,0.845,79.006,guitar
0.743,0.102,-18.452,1,0.941,0.865,0.11,0.23,113.556,guitar
0.61,0.74,-8.025,0,0.881,0.854,0.0519,0.864,109.254,guitar
0.599,0.119,-16.807,1,0.95,0.919,0.113,0.184,108.644,guitar
0.568,0.104,-17.197,1,0.905,0.0,0.0817,0.536,82.894,guitar
0.447,0.332,-11.319,1,0.864,0.798,0.0815,0.67,89.9,guitar
0.456,0.264,-11.432,1,0.916,0.767,0.111,0.0773,147.927,guitar
0.685,0.797,-5.372,1,0.506,0.00935,0.069,0.926,98.612,guitar
0.621,0.113,-16.842,0,0.97,0.834,0.116,0.203,107.75,guitar
0.699,0.516,-9.693,0,0.766,0.878,0.105,0.812,101.722,guitar
0.803,0.408,-7.87,0,0.837,0.0,0.0769,0.747,111.437,guitar
0.521,0.335,-10.687,0,0.828,0.927,0.272,0.537,136.627,guitar
0.621,0.49,-4.37,1,0.901,0.83,0.31,0.401,159.61,guitar
0.729,0.446,-11.727,1,0.974,0.000702,0.173,0.91,112.476,guitar
0.279,0.482,-10.297,0,0.944,0.889,0.158,0.13,75.991,guitar
0.316,0.614,-9.397,0,0.93,0.871,0.0775,0.19,159.791,guitar
0.441,0.206,-21.574,1,0.9,0.838,0.107,0.83,151.099,guitar
0.265,0.00222,-28.335,1,0.974,0.968,0.107,0.04,82.746,guitar
0.698,0.578,-3.573,1,0.868,7.47e-06,0.159,0.657,76.226,guitar
0.593,0.164,-15.002,1,0.97,0.946,0.106,0.327,80.065,guitar
0.212,0.189,-16.849,1,0.933,0.914,0.0799,0.0361,139.519,guitar
0.791,0.379,-11.202,0,0.665,0.811,0.0941,0.81,165.111,guitar
0.634,0.373,-9.901,1,0.936,8.69e-05,0.108,0.728,91.055,guitar
0.524,0.0514,-21.5,1,0.977,0.923,0.11,0.213,84.318,guitar
0.473,0.108,-18.716,1,0.987,0.905,0.105,0.191,110.29,guitar
0.693,0.16,-13.021,1,0.928,0.956,0.113,0.189,130.445,guitar
0.832,0.801,-3.34,1,0.626,5.98e-05,0.24,0.884,104.459,guitar
0.522,0.0718,-13.033,1,0.987,0.000238,0.11,0.282,106.732,guitar
0.548,0.0935,-14.793,1,0.959,4.04e-05,0.166,0.304,127.835,guitar
0.531,0.177,-23.71,1,0.954,0.932,0.11,0.711,113.173,guitar
0.622,0.622,-5.653,1,0.161,0.476,0.128,0.357,88.043,guitar
0.705,0.228,-15.747,1,0.761,4.53e-05,0.12,0.482,175.904,guitar
0.396,0.147,-18.267,1,0.842,0.885,0.124,0.229,83.219,guitar
0.183,2.03e-05,-27.415,1,0.939,0.997,0.113,0.0,74.49,guitar
0.632,0.229,-14.786,1,0.969,0.9,0.107,0.702,125.846,guitar
0.81,0.0268,-23.019,1,0.959,0.763,0.114,0.22,114.052,guitar
0.642,0.324,-11.891,1,0.835,2.35e-05,0.101,0.721,96.709,guitar
0.584,0.743,-6.575,1,0.747,0.0,0.0734,0.73,144.016,guitar
0.851,0.0294,-21.475,1,0.95,0.916,0.104,0.102,79.443,guitar
0.55,0.259,-15.294,1,0.976,0.915,0.105,0.79,123.686,guitar
0.591,0.122,-19.174,0,0.982,0.837,0.0734,0.358,118.952,guitar
